Sentence ID,type,CUI,Preferred name,Semantic Type,Text,Confidence Score,First char pos,Last char pos
11,entity,C0019664,History,ocdi,HISTORY,1000,689,696
11,entity,C4264312,Present illness,fndg,PRESENT ILLNESS,1000,700,715
11,entity,C0030705,Patients,podg,patient,1000,722,729
11,entity,C0439234,year,tmco,years,1000,752,757
11,entity,C0444930,End,spco,end,861,765,768
11,entity,C0019080,Hemorrhage,patf,bleed,1000,776,781
12,entity,C0817096,Chest,blor,Chest,888,784,789
12,entity,C0030705,Patients,podg,patient,888,790,797
13,entity,C0024115,Lung diseases,dsyn,pulmonary disease,1000,821,838
13,entity,C4321457,Examination,acty,examination,1000,864,875
13,entity,C0205329,Progressive,ftcn,progressive,1000,880,891
13,entity,C0332173,Daily,tmco,day,1000,899,902
13,entity,C0027627,Neoplasm Metastasis,neop,secondary,1000,907,916
13,entity,C4321457,Examination,acty,examination,1000,939,950
13,entity,C0035239,Respiratory Therapy,topp,pulmonary care,901,968,982
14,entity,C3056324,Bupon,euka,bupon,888,1036,1041
14,entity,C0582103,Medical Examination,hlca,exam,888,1042,1046
14,entity,C0205156,Previous,tmco,previous,645,1092,1100
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C2984079,Somewhat,fndg,somewhat,1000,31,39
1,entity,C0456389,size,spco,size,1000,43,47
1,entity,C4288440,Past 2 Weeks,tmco,past 2-3 weeks,923,57,71
2,entity,C0012173,Dietary Fiber,food,bulky,853,78,83
2,entity,C1096155,Macrophage Activation Syndrome,dsyn,mass,853,84,88
2,entity,C2984079,Somewhat,fndg,somewhat,888,92,100
2,entity,C0231435,Mobile,ftcn,mobile,888,101,107
2,entity,C0205098,Medial,spco,medial,861,115,121
2,entity,C0151811,Subcutaneous nodule,patf,subcutaneous nodules,1000,143,163
2,entity,C1518422,Negation,ftcn,not,1000,174,177
2,entity,C0332152,Before,tmco,before,1000,191,197
3,entity,C0004454,Axilla,blor,axillary,1000,204,212
3,entity,C0205485,Physical,ftcn,physical,694,231,239
4,entity,C0153662,Malignant neoplasm of abdomen,neop,Abdominal Cancer,1000,305,321
4,entity,C0009253,Coitus,orgf,sex,1000,364,367
4,entity,C0205145,Site,spco,site,1000,374,378
4,entity,C0064990,Calcium oxide,"inch,phsu",lime,1000,393,397
5,entity,C0019664,History,ocdi,HISTORY,1000,400,407
5,entity,C0043210,Woman,popg,female,861,435,441
5,entity,C0005767,Blood,bdsu,blood,1000,449,454
5,entity,C0205452,Six,qnco,six,660,472,475
5,entity,C0002055,Alkalies,inch,base,861,588,592
5,entity,C1225105,Sia,euka,sia,1000,614,617
6,entity,C0205160,Negative,fndg,negative,766,639,647
6,entity,C0030193,Pain,sosy,Pain,766,662,666
6,entity,C0205393,Most,qnco,most,888,672,676
6,entity,C0030193,Pain,sosy,pain,888,677,681
6,entity,C0439228,day,tmco,days,1000,687,691
7,entity,C0205170,Good,qlco,good,763,765,769
7,entity,C0750729,Course,tmco,course,763,780,786
8,entity,C0806915,Medication.discharge,fndg,DISCHARGE MEDICATIONS,1000,789,810
9,entity,C0150312,Present,fndg,Present,851,821,828
9,entity,C0449438,Status,qlco,status,851,829,835
9,entity,C0030705,Patients,podg,patient,851,836,843
9,entity,C0009806,Constipation,sosy,constipation,660,846,858
10,entity,C1555319,discharge diagnosis,fndg,DISCHARGE CAOCARE DIAGNOSIS,913,874,901
10,entity,C0019664,History,ocdi,History,1000,904,911
10,entity,C0280090,aminoglutethimide/danazol/hydrocortisone/tamoxifen,topp,TAD,827,936,939
10,entity,C0085593,Chills,sosy,chills,744,954,960
10,entity,C0013516,Echocardiography,diap,echocardiogram,744,990,1004
10,entity,C0030685,Patient Discharge,hlca,Discharged,694,1007,1017
10,entity,C3272370,NEDD8 Activating Enzyme,"aapp,enzy",naes,733,1041,1045
10,entity,C3715044,AKR1A1 wt Allele,gngm,arm,733,1046,1049
10,entity,C0449468,Volume,qnco,vol,851,1071,1074
10,entity,C0013604,Edema,sosy,edema,851,1075,1080
11,entity,C0332152,Before,tmco,Pre,790,1094,1097
11,entity,C0085732,Ability,orga,able,790,1098,1102
11,entity,C0336808,Streetcar,mnob,tram,799,1158,1162
11,entity,C0040223,Time,tmco,time,1000,1182,1186
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C2984079,Somewhat,fndg,somewhat,1000,31,39
1,entity,C0456389,size,spco,size,1000,43,47
1,entity,C4288440,Past 2 Weeks,tmco,past 2-3 weeks,923,57,71
2,entity,C0012173,Dietary Fiber,food,bulky,853,78,83
2,entity,C1096155,Macrophage Activation Syndrome,dsyn,mass,853,84,88
2,entity,C2984079,Somewhat,fndg,somewhat,888,92,100
2,entity,C0231435,Mobile,ftcn,mobile,888,101,107
2,entity,C0205098,Medial,spco,medial,861,115,121
2,entity,C0151811,Subcutaneous nodule,patf,subcutaneous nodules,1000,143,163
2,entity,C1518422,Negation,ftcn,not,1000,174,177
2,entity,C0332152,Before,tmco,before,1000,191,197
3,entity,C0004454,Axilla,blor,axillary,1000,204,212
3,entity,C3840994,No X-rays,fndg,no x-rays,1000,252,261
3,entity,C0682323,Partner in relationship,famg,mate,1000,267,271
6,entity,C0599883,Trait,orga,trait,565,317,322
6,entity,C0016452,Food,food,Food,565,331,335
6,entity,C0439234,year,tmco,years,1000,371,376
6,entity,C0205178,acute,tmco,acute,750,434,439
6,entity,C1416512,ITM2B gene,gngm,BRI,750,442,445
6,entity,C0439230,week,tmco,weeks,632,490,495
6,entity,C0205170,Good,qlco,good,750,538,542
6,entity,C0030193,Pain,sosy,pain,750,543,547
8,entity,C0205160,Negative,fndg,negative,629,603,611
8,entity,C0376545,Hematologic Neoplasms,neop,Blood assection tumor,824,631,652
8,entity,C0023884,Liver,bpoc,liver,824,653,658
8,entity,C0178602,Dosage,qnco,dose,623,661,665
8,entity,C0005767,Blood,bdsu,blood,623,666,671
8,entity,C0332173,Daily,tmco,daily,762,722,727
9,entity,C0205272,Regular,qlco,regular,750,745,752
9,entity,C0871208,Rating (action),acty,rate,750,753,757
9,entity,C1515148,TE06,cell,I/ heast 15.6,875,768,781
10,entity,C4284302,EHD1 wt Allele,gngm,past,1000,807,811
10,entity,C1847322,PATE1 gene,gngm,pate,735,846,850
10,entity,C0007430,Catheterization,topp,catheterized,735,851,863
10,entity,C1269776,Gray color,qlco,gray,735,909,913
10,entity,C0282139,Colace,"orch,phsu",Colace,861,941,947
10,entity,C0205448,Two,qnco,two,645,969,972
11,entity,C1261074,Structure of right upper lobe of lung,bpoc,Rul,637,999,1002
12,entity,C0205449,Three,qnco,three,740,1094,1099
12,entity,C0022646,Kidney,bpoc,renal,637,1128,1133
12,entity,C0439230,week,tmco,weeks,1000,1171,1176
13,entity,C1003001,Delia,euka,delia,827,1211,1216
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C0439083,>90,qnco,90,824,46,48
1,entity,C1334016,High Grade Lesion,fndg,severe 90% lesion,824,39,56
1,entity,C1880089,Circumflex,spco,circumflex,1000,75,85
1,entity,C3842586,50%,qnco,50,888,90,92
1,entity,C0221198,Lesion,fndg,lesion,888,94,100
1,entity,C0549177,Large,qnco,large,888,106,111
2,entity,C0225808,Right side of heart,blor,right coronary,901,121,135
2,entity,C0003842,Arteries,bpoc,artery,901,136,142
2,entity,C0444567,Ostium,bsoj,ostial,853,169,175
2,entity,C1261287,Stenosis,patf,stenosis,853,176,184
2,entity,C3842584,70%,qnco,70,888,192,194
2,entity,C1514721,Range,qnco,range,888,196,201
3,entity,C0205091,Left,spco,Left,623,204,208
3,entity,C0018827,Heart Ventricle,bpoc,ventricular,623,209,220
4,entity,C0030705,Patients,podg,patient,1000,238,245
4,entity,C0184661,Interventional procedure,topp,procedure,1000,257,266
5,entity,C0030705,Patients,podg,patient,1000,273,280
5,entity,C0030705,Patients,podg,patient,1000,301,308
5,entity,C3242339,operate,ftcn,operating,661,329,338
5,entity,C0184661,Interventional procedure,topp,procedure,1000,355,364
6,entity,C0030705,Patients,podg,patient,1000,371,378
6,entity,C0030193,Pain,sosy,pain,1000,390,394
6,entity,C0205091,Left,spco,left,1000,422,426
6,entity,C0030705,Patients,podg,patient,1000,451,458
6,entity,C0033095,Pressure- physical agent,phpr,pressure,1000,478,486
6,entity,C0030705,Patients,podg,patient,1000,494,501
6,entity,C0033095,Pressure- physical agent,phpr,pressure,1000,513,521
6,entity,C2587213,Control function,ftcn,controlled,1000,542,552
6,entity,C0332254,Supple,ftcn,supple,1000,571,577
7,entity,C0030705,Patients,podg,patient,1000,584,591
7,entity,C0030705,Patients,podg,patient,1000,612,619
7,entity,C0030705,Patients,podg,patient,1000,640,647
7,entity,C0332254,Supple,ftcn,supple,1000,652,658
8,entity,C0030705,Patients,podg,patient,1000,684,691
8,entity,C0231179,Insufficiency,ftcn,insufficiency,1000,696,709
8,entity,C0030705,Patients,podg,patient,1000,750,757
9,entity,C0332254,Supple,ftcn,supple,1000,783,789
10,entity,C0030705,Patients,podg,patient,1000,796,803
10,entity,C0030193,Pain,sosy,pain,1000,815,819
10,entity,C0030705,Patients,podg,patient,1000,828,835
10,entity,C0184661,Interventional procedure,topp,procedure,1000,847,856
11,entity,C0332254,Supple,ftcn,supple,1000,898,904
12,entity,C0019994,Hospitals,"hcro,mnob",hospital,1000,930,938
12,entity,C2587213,Control function,ftcn,controlled,1000,945,955
12,entity,C0205091,Left,spco,left,1000,976,980
12,entity,C0184661,Interventional procedure,topp,procedure,1000,985,994
13,entity,C0030193,Pain,sosy,pain,1000,1016,1020
13,entity,C0030705,Patients,podg,patient,1000,1049,1056
13,entity,C0184661,Interventional procedure,topp,procedure,1000,1068,1077
14,entity,C3242339,operate,ftcn,operating,661,1103,1112
14,entity,C0030705,Patients,podg,patient,1000,1129,1136
14,entity,C0184661,Interventional procedure,topp,procedure,1000,1148,1157
15,entity,C0030705,Patients,podg,patient,1000,1164,1171
15,entity,C0030705,Patients,podg,patient,1000,1192,1199
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C0439083,>90,qnco,90,824,46,48
1,entity,C1334016,High Grade Lesion,fndg,severe 90% lesion,824,39,56
1,entity,C1880089,Circumflex,spco,circumflex,1000,75,85
1,entity,C3842586,50%,qnco,50,888,90,92
1,entity,C0221198,Lesion,fndg,lesion,888,94,100
1,entity,C0549177,Large,qnco,large,888,106,111
2,entity,C0225808,Right side of heart,blor,right coronary,901,121,135
2,entity,C0003842,Arteries,bpoc,artery,901,136,142
2,entity,C0444567,Ostium,bsoj,ostial,853,169,175
2,entity,C1261287,Stenosis,patf,stenosis,853,176,184
2,entity,C3842584,70%,qnco,70,888,192,194
2,entity,C1514721,Range,qnco,range,888,196,201
3,entity,C0205091,Left,spco,Left,901,204,208
3,entity,C0042510,Ventricular Fibrillation,dsyn,ventricular fibrillation,901,209,233
4,entity,C0019664,History,ocdi,history,1000,265,272
4,entity,C0015944,"Fetal Membranes, Premature Rupture",patf,prom,861,285,289
4,entity,C0034606,Radionuclide Imaging,diap,scan,861,329,333
4,entity,C0030705,Patients,podg,patient,1000,341,348
4,entity,C0018935,Hematocrit procedure,lbpr,hematocrit,888,360,370
5,entity,C4050466,Borg Category-Ratio 10 Perceived Exertion Score 5,inpr,severe,1000,398,404
5,entity,C0205329,Progressive,ftcn,progressive,1000,412,423
5,entity,C0009566,Complication,patf,complications,1000,432,445
6,entity,C0040223,Time,tmco,time,1000,456,460
6,entity,C1457887,Symptoms,sosy,symptoms,1000,464,472
7,entity,C0332254,Supple,ftcn,supple,1000,482,488
8,entity,C1442792,State,ftcn,state,1000,495,500
8,entity,C0018795,Cardiac Catheterization Procedures,hlca,cardiac catheterization,1000,535,558
8,entity,C3887511,Evidence,idcn,evidence,1000,565,573
8,entity,C0332173,Daily,tmco,day,1000,581,584
8,entity,C0439531,per period (qualifier value),tmco,period,888,593,599
8,entity,C0009566,Complication,patf,complications,888,600,613
9,entity,C1517741,Last,qlco,last,851,632,636
9,entity,C0332257,Including (qualifier),ftcn,included,851,637,645
9,entity,C0012634,Disease,dsyn,disease,851,646,653
10,entity,C0015385,Limb structure,bpoc,extremities,861,747,758
11,entity,C0221082,adverse effect due to surgery,fndg,surgical complications,1000,774,796
11,entity,C0030685,Patient Discharge,hlca,discharged,1000,801,811
11,entity,C0009566,Complication,patf,complications,1000,816,829
12,entity,C0029064,Operating Room,"hcro,mnob",operating room,1000,874,888
12,entity,C0018787,Heart,bpoc,heart,1000,896,901
13,entity,C0205307,Normal,qlco,normal,1000,931,937
14,entity,C0030705,Patients,podg,patient,1000,944,951
14,entity,C0040223,Time,tmco,time,1000,964,968
15,entity,C0030705,Patients,podg,patient,1000,1006,1013
15,entity,C0205266,Intact,qlco,intact,1000,1018,1024
15,entity,C0595397,Oxis,"orch,phsu",oxis,888,1053,1057
15,entity,C0030705,Patients,podg,patient,1000,1077,1084
15,entity,C0009566,Complication,patf,complications,1000,1092,1105
16,entity,C0018808,Heart murmur,fndg,murmurs,1000,1121,1128
18,entity,C0205358,Soft,qlco,soft,1000,1166,1170
18,entity,C0184252,Medical Valves,medd,valve,1000,1177,1182
19,entity,C0030705,Patients,podg,patient,1000,1189,1196
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C0439083,>90,qnco,90,824,46,48
1,entity,C1334016,High Grade Lesion,fndg,severe 90% lesion,824,39,56
1,entity,C1880089,Circumflex,spco,circumflex,1000,75,85
1,entity,C3842586,50%,qnco,50,888,90,92
1,entity,C0221198,Lesion,fndg,lesion,888,94,100
1,entity,C0549177,Large,qnco,large,888,106,111
2,entity,C0225808,Right side of heart,blor,right coronary,901,121,135
2,entity,C0003842,Arteries,bpoc,artery,901,136,142
2,entity,C0444567,Ostium,bsoj,ostial,853,169,175
2,entity,C1261287,Stenosis,patf,stenosis,853,176,184
2,entity,C3842584,70%,qnco,70,888,192,194
2,entity,C1514721,Range,qnco,range,888,196,201
3,entity,C0205091,Left,spco,Left,851,204,208
3,entity,C0018827,Heart Ventricle,bpoc,ventricular,851,209,220
3,entity,C0332185,Recent,tmco,recent,851,221,227
4,entity,C0030685,Patient Discharge,hlca,Patient discharge,1000,230,247
5,entity,C0005767,Blood,bdsu,blood,721,268,273
5,entity,C0007144,Cardia of stomach,blor,cardial,721,304,311
5,entity,C0524832,Thoracic Surgical Procedures,topp,chest cardial surgical,721,298,320
6,entity,C0012634,Disease,dsyn,condition,1000,346,355
6,entity,C1514721,Range,qnco,range,1000,364,369
6,entity,C0030054,Oxygen,"bacs,elii,phsu",oxygen,1000,375,381
6,entity,C4035885,Ambulant,fndg,ambulant,851,384,392
6,entity,C0007457,Caucasoid Race,popg,white,851,393,398
6,entity,C0031831,Physicians,prog,doctors,851,399,406
6,entity,C0034052,Pulmonary artery structure,bpoc,pulmonary artery,1000,444,460
6,entity,C0231290,Status post,tmco,following,694,466,475
6,entity,C1516084,Attempt,evnt,attempt,888,488,495
6,entity,C0013216,Pharmacotherapy,topp,chemotherapy,888,496,508
6,entity,C0225386,Breath,bdsu,breath,694,525,531
6,entity,C0562319,Examination of heart,hlca,exam control heart,708,545,563
7,entity,C4086551,Liver Iron Concentration,fndg,LIC,623,659,662
7,entity,C0122922,Hypochlorite,elii,CLO,623,663,666
7,entity,C0817096,Chest,blor,chest,1000,705,710
7,entity,C1709157,Negative Surgical Margin,fndg,clear,660,717,722
7,entity,C3840892,Day 4,fndg,day 4,1000,743,748
7,entity,C0024202,Lymph,bdsu,lymph,768,778,783
7,entity,C0269694,Normal delivery procedure,topp,normal lymph m Delivery,768,771,794
7,entity,C0439228,day,tmco,days,827,830,834
8,entity,C0332173,Daily,tmco,day,812,853,856
8,entity,C0030193,Pain,sosy,pain,694,890,894
8,entity,C0030193,Pain,sosy,pain,632,946,950
8,entity,C0205169,Bad,qlco,poorly,1000,960,966
9,entity,C0030705,Patients,podg,patient,888,993,1000
9,entity,C1825314,FRMD6 gene,gngm,willin,888,1001,1007
9,entity,C2926602,"Discharge, body substance",bdsu,discharge,1000,1081,1090
10,entity,C0817096,Chest,blor,chest,740,1098,1103
10,entity,C0009938,Contusions,inpo,bruise,740,1110,1116
10,entity,C0205251,low,qlco,low,888,1124,1127
10,entity,C0012634,Disease,dsyn,disease,888,1128,1135
10,entity,C2926602,"Discharge, body substance",bdsu,DISCHARGE,781,1139,1148
10,entity,C1512018,Doctor of Medicine,inpr,M.D,1000,1194,1197
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C0439083,>90,qnco,90,824,46,48
1,entity,C1334016,High Grade Lesion,fndg,severe 90% lesion,824,39,56
1,entity,C1880089,Circumflex,spco,circumflex,1000,75,85
1,entity,C3842586,50%,qnco,50,888,90,92
1,entity,C0221198,Lesion,fndg,lesion,888,94,100
1,entity,C0549177,Large,qnco,large,888,106,111
2,entity,C0225808,Right side of heart,blor,right coronary,901,121,135
2,entity,C0003842,Arteries,bpoc,artery,901,136,142
2,entity,C0444567,Ostium,bsoj,ostial,853,169,175
2,entity,C1261287,Stenosis,patf,stenosis,853,176,184
2,entity,C3842584,70%,qnco,70,888,192,194
2,entity,C1514721,Range,qnco,range,888,196,201
3,entity,C0205091,Left,spco,Left,791,204,208
5,entity,C0205219,Diffuse,spco,diffuse,694,302,309
5,entity,C0056167,cyclophosphamide/methotrexate/prednisone/vincristine protocol,topp,comp,888,320,324
5,entity,C0582103,Medical Examination,hlca,exam,888,325,329
7,entity,C0068833,nitrofen,"hops,orch",tok,888,377,380
7,entity,C0543467,Operative Surgical Procedures,topp,surgical,744,386,394
7,entity,C1424635,CIB1 gene,gngm,Kip,744,407,410
7,entity,C0013227,Pharmaceutical Preparations,phsu,medications,744,454,465
8,entity,C3828813,99,qnco,Aug-99,645,496,500
8,entity,C0122922,Hypochlorite,elii,clo,549,511,514
8,entity,C0205448,Two,qnco,two,549,515,518
8,entity,C1533716,Information,idcn,information,793,583,594
8,entity,C0171016,"14-thioglycolamido-7,8-dihydromorphinone","orch,phsu",tamo,645,641,645
8,entity,C0012634,Disease,dsyn,condition,1000,670,679
8,entity,C0015944,"Fetal Membranes, Premature Rupture",patf,prom,623,684,688
8,entity,C0008976,Clinical Trials,resa,trial,623,689,694
9,entity,C0022877,Laboratory,"hcro,mnob",LAB,701,716,719
9,entity,C0271714,"Hypoglycemia, leucine-induced",dsyn,LiH,701,720,723
9,entity,C4319613,50000,qnco,50000,901,795,800
10,entity,C0878363,Prolate,"hops,orch",Prolate,786,803,810
11,entity,C1418428,PDE6D gene,gngm,Pded,1000,895,899
11,entity,C0205170,Good,qlco,good,1000,900,904
13,entity,C0450385,65,inpr,65-971,497,952,958
13,entity,C4319546,10000,qnco,10000,694,1048,1053
14,entity,C0332173,Daily,tmco,day,660,1096,1099
15,entity,C0231303,Distress,fndg,distress,763,1165,1173
16,entity,C0020517,Hypersensitivity,patf,ALLERGIES,1000,1176,1185
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C0011900,Diagnosis,diap,DIAGNOSIS,1000,40,49
1,entity,C0012634,Disease,dsyn,Conditions,966,52,62
1,entity,C3714514,Infection,patf,Infections,1000,65,75
1,entity,C0009566,Complication,patf,Complications,1000,78,91
1,entity,C1705822,Transfer Technique,ftcn,delivered,888,135,144
1,entity,C0038895,Surgical aspects,ftcn,OPERATIONS,888,145,155
1,entity,C0025664,Methods aspects,ftcn,PROCEDURES,1000,160,170
1,entity,C0002903,Anesthesia procedures,topp,Anesthesia,888,181,191
1,entity,C0027627,Neoplasm Metastasis,neop,Secondary,660,203,212
1,entity,C0030705,Patients,podg,patient,1000,236,243
1,entity,C0030705,Patients,podg,patient,1000,260,267
2,entity,C0030705,Patients,podg,patient,1000,283,290
2,entity,C0457453,On admission,tmco,on admission,1000,306,318
2,entity,C0817096,Chest,blor,chest,901,326,331
2,entity,C0034571,roentgenographic,ftcn,#NAME?,901,333,337
2,entity,C0008031,Chest Pain,sosy,chest pain,1000,353,363
2,entity,C0019664,History,ocdi,history,1000,370,377
2,entity,C0003232,Antibiotics,antb,antibiotics,1000,381,392
3,entity,C0030705,Patients,podg,patient,1000,399,406
3,entity,C0030705,Patients,podg,patient,1000,423,430
3,entity,C1883708,Then,tmco,then,1000,435,439
3,entity,C0587438,Day hospital,"hcro,mnob",hospital day,1000,478,490
4,entity,C0030705,Patients,podg,patient,1000,497,504
4,entity,C0030705,Patients,podg,patient,1000,528,535
4,entity,C1883708,Then,tmco,then,888,540,544
4,entity,C0043100,Weight,qnco,weight,888,545,551
4,entity,C0030705,Patients,podg,patient,1000,561,568
4,entity,C0220913,Manufactured sign,mnob,signs,1000,586,591
4,entity,C0019664,History,ocdi,history,1000,634,641
4,entity,C0003232,Antibiotics,antb,antibiotics,1000,645,656
5,entity,C0030705,Patients,podg,patient,1000,690,697
5,entity,C0817096,Chest,blor,chest,901,715,720
5,entity,C0034571,roentgenographic,ftcn,#NAME?,901,722,726
5,entity,C0015385,Limb structure,bpoc,extremities,1000,743,754
6,entity,C0030705,Patients,podg,patient,1000,761,768
6,entity,C1883708,Then,tmco,then,1000,773,777
6,entity,C0030705,Patients,podg,patient,1000,799,806
6,entity,C0817096,Chest,blor,chest,901,831,836
6,entity,C0034571,roentgenographic,ftcn,#NAME?,901,838,842
6,entity,C0817096,Chest,blor,chest,901,858,863
6,entity,C0034571,roentgenographic,ftcn,#NAME?,901,865,869
6,entity,C0817096,Chest,blor,chest,901,885,890
6,entity,C0034571,roentgenographic,ftcn,#NAME?,901,892,896
6,entity,C0008031,Chest Pain,sosy,chest pain,1000,912,922
7,entity,C0030705,Patients,podg,patient,1000,929,936
7,entity,C0817096,Chest,blor,chest,901,954,959
7,entity,C0034571,roentgenographic,ftcn,#NAME?,901,961,965
7,entity,C0008031,Chest Pain,sosy,chest pain,1000,981,991
8,entity,C0817096,Chest,blor,chest,901,1020,1025
8,entity,C0034571,roentgenographic,ftcn,#NAME?,901,1027,1031
8,entity,C0817096,Chest,blor,chest,901,1059,1064
8,entity,C0034571,roentgenographic,ftcn,#NAME?,901,1066,1070
8,entity,C0018801,Heart failure,dsyn,heart failure,1000,1086,1099
9,entity,C0030705,Patients,podg,patient,1000,1106,1113
9,entity,C0030705,Patients,podg,patient,1000,1137,1144
9,entity,C0817096,Chest,blor,chest,901,1162,1167
9,entity,C0034571,roentgenographic,ftcn,#NAME?,901,1169,1173
9,entity,C0817096,Chest,blor,chest,901,1189,1194
