Sentence ID,type,CUI,Preferred name,Semantic Type,Text,Confidence Score,First char pos,Last char pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,relation,1,1,C0015385,bpoc,,,0,,,,,,,,,,1000,812,821,PREP,LOCATION_OF,,805,807,3,1,C0020517,Hypersensitivity,patf,patf,,,sensitive,,,0,1000,795,804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,text,824,911,He was admitted to the patient was admitted to the patient was admitted and her pain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0030705,Patients,podg,patient,1000,847,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0030705,Patients,podg,patient,1000,875,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0030193,Pain,sosy,pain,1000,904,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,text,911,968,"The patient was admitted to the patient , and her pain .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030705,Patients,podg,patient,1000,915,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030705,Patients,podg,patient,1000,943,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030193,Pain,sosy,pain,1000,961,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,text,968,1029,"He was sensition , and he was transferred to the extremity .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entity,C0015385,Limb structure,bpoc,extremity,1000,1017,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,text,1029,1101,He was sensities the patient was transferred to the Emergency Decadal .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,entity,C0030705,Patients,podg,patient,1000,1050,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,entity,C2981279,Decade,qnco,Decadal,928,1091,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,text,1101,1141,The patient was admitted and her pain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,entity,C0030705,Patients,podg,patient,1000,1105,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,entity,C0030193,Pain,sosy,pain,1000,1134,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,text,1141,1172,He was sensition with a pain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,entity,C0030193,Pain,sosy,pain,1000,1165,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,text,1172,1239,"He was sensition , and he was admitted to the patient was a pain .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,entity,C0030705,Patients,podg,patient,1000,1218,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,entity,C0030193,Pain,sosy,pain,1000,1232,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,text,1239,1268,He had a spontaneous began .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,entity,C0205359,Spontaneous,ftcn,spontaneous,1000,1248,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,text,1268,1330,ASSOCIATED DIAGNOSIS : The patient was admitted to the patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,entity,C0011900,Diagnosis,diap,DIAGNOSIS,861,1279,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,entity,C0030705,Patients,podg,patient,1000,1295,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,entity,C0030705,Patients,podg,patient,1000,1323,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,text,0,37,Test Data 002: phosphokinase levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0022885,Laboratory Procedures,lbpr,Test,790,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C1511726,Data,idcn,Data,790,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0031727,Phosphotransferases,"aapp,enzy",phosphokinase,694,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,text,37,125,"Her abdominal pain was gone by the next hospital day , and her electrolytes normalized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0000737,Abdominal Pain,sosy,abdominal pain,1000,41,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0205117,Adjacent,spco,next,901,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0587438,Day hospital,"hcro,mnob",hospital day,901,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0013832,Electrolytes,"inch,phsu",electrolytes,1000,100,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,text,125,271,"The patient had some mild diarrhea , which slowly resolved , and she remained in atrial fibriluation of SIolmic for abdominal is his chest pain .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0030705,Patients,podg,patient,1000,129,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0011991,Diarrhea,sosy,diarrhea,861,151,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0439834,Slow,qlco,slowly,1000,168,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0018792,Heart Atrium,bpoc,atrial,694,206,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0000726,Abdomen,blor,abdominal,1000,241,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0008031,Chest Pain,sosy,chest pain,1000,258,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,relation,5,1,C0011991,sosy,,,0,,,,,,,,,,861,151,159,AUX,PROCESS_OF,,137,140,1,1,C0030705,Patients,"podg,humn",humn,,,patient,,,0,1000,129,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,text,271,388,"Cardiac and discharge , and he was the patient was consistent with conces were 10 and a positive bring the patient .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0018787,Heart,bpoc,Cardiac,1000,271,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C2926602,"Discharge, body substance",bdsu,discharge,1000,283,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030705,Patients,podg,patient,1000,310,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0439178,percent positive cells,qnco,positive,1000,359,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030705,Patients,podg,patient,1000,378,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,text,388,450,He had resuscitis and the patient was admitted to the weeks .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0030705,Patients,podg,patient,1000,414,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0439230,week,tmco,weeks,1000,442,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,text,450,521,The patient was admitted to the asthore was noted to the Resor drain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0030705,Patients,podg,patient,1000,454,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0013103,Drainage procedure,topp,drain,861,513,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,text,521,652,MEDICATIONS : On postoperative day  MEDICATIONS ON ADMISSION : He was being left of the patient was admitted that has promidence .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0013227,Pharmaceutical Preparations,phsu,MEDICATIONS,1000,521,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0332173,Daily,tmco,day,790,552,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0013227,Pharmaceutical Preparations,phsu,MEDICATIONS,790,557,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0457453,On admission,tmco,ON ADMISSION,1000,569,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0030705,Patients,podg,patient,1000,609,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,text,652,716,"Her pain of the hospital day , we chest x 8 which were normal .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0030193,Pain,sosy,pain,1000,656,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0587438,Day hospital,"hcro,mnob",hospital day,1000,668,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0817096,Chest,blor,chest,827,686,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0205307,Normal,qlco,normal,1000,707,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,text,716,758,The patient was treated with a distress .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0030705,Patients,podg,patient,1000,720,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0231303,Distress,fndg,distress,1000,747,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,text,758,901,"In 1998 and her pain , nontender , and the patient was admitted and the patient was found to the patient on the prostate of the presentation .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030193,Pain,sosy,pain,1000,774,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0520960,Non-tender,qlco,nontender,1000,781,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030705,Patients,podg,patient,1000,801,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030705,Patients,podg,patient,1000,830,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0030705,Patients,podg,patient,1000,855,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0033572,Prostate,bpoc,prostate,1000,870,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity,C0449450,Presentation,idcn,presentation,1000,886,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,relation,2,1,C0033572,bpoc,,,0,,,,,,,,,,1000,870,878,PREP,LOCATION_OF,,863,865,5,5,C0030193,Pain,sosy,sosy,,,pain,,,0,1000,774,778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,text,901,1029,The patient was admitted to the operating this and significant she was transferred to the Emergend Incomfassin 10 mg PO q.days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entity,C0030705,Patients,podg,patient,1000,905,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entity,C3242339,operate,ftcn,operating,966,933,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entity,C0237881,Statistical Significance,qnco,significant,1000,952,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,entity,C1547061,10 days,tmco,10 mg PO q.days,740,1012,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,text,1029,1035,", Dr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,text,1035,1069,"Date 150 , potassium 1.2 , PTAI .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,entity,C0032821,Potassium,"bacs,elii,phsu",potassium,827,1046,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,text,1069,1170,He was transferred to the 2ootwith be able to the headachyroputes were the patient did left legain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,entity,C0085732,Ability,orga,able,1000,1107,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,entity,C0030705,Patients,podg,patient,1000,1144,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,entity,C0205091,Left,spco,left,694,1156,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,text,1170,1215,He had been the patient was begress and her p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,entity,C0030705,Patients,podg,patient,1000,1186,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,text,0,37,Test Data 003: phosphokinase levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0022885,Laboratory Procedures,lbpr,Test,790,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C1511726,Data,idcn,Data,790,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0031727,Phosphotransferases,"aapp,enzy",phosphokinase,694,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,text,37,125,"Her abdominal pain was gone by the next hospital day , and her electrolytes normalized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0000737,Abdominal Pain,sosy,abdominal pain,1000,41,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0205117,Adjacent,spco,next,901,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0587438,Day hospital,"hcro,mnob",hospital day,901,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0013832,Electrolytes,"inch,phsu",electrolytes,1000,100,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,text,125,309,"The patient had some mild diarrhea , which slowly resolved , and she remained in atrial fibibulatimen all agineasinged phosphatase graft reduclormytology felt the Recordine 10 mg t.o.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0030705,Patients,podg,patient,1000,129,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0011991,Diarrhea,sosy,diarrhea,861,151,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0439834,Slow,qlco,slowly,1000,168,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0018792,Heart Atrium,bpoc,atrial,694,206,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0031678,Phosphoric Monoester Hydrolases,"aapp,enzy",phosphatase,583,244,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0181074,Graft material,bodm,graft,583,256,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,relation,4,1,C0011991,sosy,,,0,,,,,,,,,,861,151,159,AUX,PROCESS_OF,,137,140,1,1,C0030705,Patients,"podg,humn",humn,,,patient,,,0,1000,129,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,text,309,367,Netadraction 40 mg p.o. q 20 10 tase Servicit consocate .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C1630409,06-Mar,fndg,20 10,550,335,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,text,367,448,Enco calcic Incomfionine / Compria removal bilateral leef is found facive only .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0064990,Calcium oxide,"inch,phsu",calcic,535,372,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0185115,Extraction,topp,removal,535,402,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0238767,Bilateral,spco,bilateral,535,410,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0205171,Singular,qnco,only,694,441,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,text,448,531,He 7via diufice rth were sens and PG with ictain ft showed had here of admission .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C1867020,SCALP-EAR-NIPPLE SYNDROME,dsyn,sens,1000,473,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,text,531,600,"AT 80% RF , Fejweh , 10 mg po PI cesidinol awer be healing of werk .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C3842583,80%,qnco,80,888,534,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,text,600,778,"K T , 170 , medications and signgity on epis gitarineal and the patient &apos;s Discharge for evaluate wellith , margic and her palsis , referration on evaluation is Cr.avitin .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0013227,Pharmaceutical Preparations,phsu,medications,1000,612,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0162734,Echo-Planar Imaging,diap,epis,661,640,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0030705,Patients,podg,patient,694,664,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C2926602,"Discharge, body substance",bdsu,Discharge,888,680,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0220825,Evaluation,hlca,evaluation,1000,752,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,text,778,879,"Infection 32 thip and thiftices , devidence of discharge aorophate of the Clternal and go tube day .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0047845,gaboxadol,"orch,phsu",thip,802,791,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C2926602,"Discharge, body substance",bdsu,discharge,694,825,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C1561954,tube,mnob,tube,888,868,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,entity,C0332173,Daily,tmco,day,888,873,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
